agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,965,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,970,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,975,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,980,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,985,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,990,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,995,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1000,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1005,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1010,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1015,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1020,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1025,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1030,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1035,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1040,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1045,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1050,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1055,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1060,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1065,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1070,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1075,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1080,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1085,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1090,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1095,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1100,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1105,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1110,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1115,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1120,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1125,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1130,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1135,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1140,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1145,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1150,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1155,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1160,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1165,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1170,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1175,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1180,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1185,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1190,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1195,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1200,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1205,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1210,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1215,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1220,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1225,0.0,5,SWITCH
